SID,SNRdB,Semanticity,LengthStim,AttentionScore
S1,1000,1,L2,91.66666667
S1,3,1,L2,73.16468254
S1,1000,0,L2,100
S1,-6,1,L3,11.18881119
S1,-6,0,L1,35
S1,3,0,L1,95
S1,0,1,L2,58.18452381
S1,-6,0,L3,18.18181818
S1,-3,1,L2,25.99206349
S1,3,1,L1,60.66666667
S1,6,1,L3,41.60839161
S1,0,0,L2,81.15079365
S1,1000,0,L1,100
S1,6,1,L2,62.64880953
S1,3,1,L3,39.2968143
S1,-3,1,L3,21.15384615
S1,0,0,L1,80
S1,3,0,L2,96.875
S1,0,1,L3,47.2027972
S1,0,0,L3,77.66122766
S1,1000,0,L3,100
S1,6,0,L2,100
S1,6,0,L1,100
S1,-3,0,L2,68.20436508
S1,6,0,L3,92.30769231
S1,-6,0,L2,3.571428573
S1,-6,1,L1,41.66666667
S1,-3,1,L1,64.33333333
S1,0,1,L1,42
S1,-6,1,L2,16.26984127
S1,6,1,L1,85.33333333
S1,1000,1,L1,100
S1,-3,0,L1,81.66666667
S1,1000,1,L3,58.56643357
S1,-3,0,L3,33.01282051
S1,3,0,L3,94.44444444
S2,1000,1,L1,95
S2,-3,0,L1,41
S2,-6,0,L2,3.125
S2,0,0,L3,59.81240981
S2,0,1,L1,32
S2,3,0,L3,76.02952603
S2,1000,1,L2,64.93055556
S2,6,0,L2,60.05291005
S2,6,1,L1,52.33333333
S2,-6,1,L2,17.46031746
S2,1000,0,L1,92
S2,6,1,L3,50.23310023
S2,-3,1,L3,8.624708624
S2,3,0,L1,91
S2,0,0,L1,51.66666667
S2,-3,0,L3,24.22299922
S2,3,1,L1,45.66666667
S2,0,0,L2,37.45039683
S2,1000,1,L3,40.88966589
S2,1000,0,L3,92.30769231
S2,6,0,L3,59.11033411
S2,-3,0,L2,36.60714286
S2,3,1,L2,42.60912698
S2,-6,0,L1,5
S2,-6,1,L3,8.838383838
S2,-6,1,L1,28
S2,0,1,L2,43.9484127
S2,-3,1,L2,27.97619048
S2,-6,0,L3,11.61616162
S2,6,1,L2,50.29761905
S2,0,1,L3,19.26961927
S2,6,0,L1,90
S2,1000,0,L2,100
S2,-3,1,L1,24.66666667
S2,3,0,L2,64.13690476
S2,3,1,L3,33.95493395
S3,6,1,L1,60.33333333
S3,-6,0,L2,0
S3,0,1,L3,10.8974359
S3,3,0,L1,71.66666667
S3,6,0,L1,66
S3,3,1,L3,19.23076923
S3,3,0,L3,50.6993007
S3,-3,0,L3,9.09090909
S3,0,0,L1,16.66666667
S3,0,1,L1,34.66666667
S3,3,1,L1,29
S3,6,0,L2,65.87301587
S3,0,0,L2,58.92857143
S3,-6,1,L2,0
S3,-6,0,L1,5
S3,6,0,L3,77.23387724
S3,-3,0,L1,61.33333333
S3,6,1,L2,41.81547619
S3,-6,1,L3,10.8974359
S3,0,0,L3,36.55788656
S3,3,0,L2,60.11904762
S3,-3,1,L3,21.19269619
S3,6,1,L3,40.24864025
S3,1000,1,L3,36.48018648
S3,1000,1,L1,71
S3,0,1,L2,27.87698413
S3,1000,0,L2,86.16071429
S3,-6,0,L3,3.03030303
S3,-3,1,L1,17
S3,3,1,L2,38.49206349
S3,-3,1,L2,6.25
S3,1000,1,L2,76.19047619
S3,1000,0,L1,95
S3,-6,1,L1,9
S3,-3,0,L2,5.555555555
S3,1000,0,L3,72.64957265
S4,3,0,L2,29.46428572
S4,1000,0,L1,85
S4,6,1,L2,52.62896825
S4,-6,1,L3,17.67676768
S4,6,1,L1,51.33333333
S4,1000,1,L1,76
S4,0,1,L2,18.50198413
S4,6,0,L2,84.27579365
S4,-3,1,L2,6.25
S4,1000,1,L2,69.44444445
S4,-3,0,L1,23
S4,1000,0,L2,96.875
S4,-6,1,L1,20.66666667
S4,0,0,L1,25
S4,-3,0,L2,23.66071429
S4,3,0,L1,49.66666667
S4,3,0,L3,33.1973582
S4,6,0,L1,93.33333333
S4,3,1,L3,42.54079254
S4,-6,0,L1,0
S4,-3,1,L3,16.53069153
S4,0,0,L2,53.42261905
S4,-6,0,L3,25.36907537
S4,3,1,L1,30.66666667
S4,-6,1,L2,12.59920635
S4,6,0,L3,65.90909091
S4,0,1,L1,21.33333333
S4,-6,0,L2,8.680555555
S4,-3,0,L3,5.555555557
S4,1000,1,L3,61.16938617
S4,0,0,L3,20.2020202
S4,3,1,L2,48.41269841
S4,6,1,L3,32.55633255
S4,-3,1,L1,14
S4,1000,0,L3,91.41414141
S4,0,1,L3,24.9028749
S5,3,1,L3,11.36363636
S5,0,1,L1,40.33333333
S5,-6,0,L3,0
S5,1000,1,L2,43.35317461
S5,-6,1,L1,15
S5,3,1,L2,29.91071429
S5,-3,0,L3,12.12121212
S5,6,1,L3,34.16860917
S5,1000,0,L3,72.999223
S5,-3,0,L1,23.33333333
S5,3,0,L1,38.66666667
S5,-3,1,L1,26.66666667
S5,0,0,L1,22
S5,-3,0,L2,18.75
S5,-6,1,L2,13.49206349
S5,0,1,L2,25.64484127
S5,6,1,L2,18.05555556
S5,0,0,L3,26.34032634
S5,3,0,L2,62.20238095
S5,-3,1,L2,14.93055556
S5,-6,1,L3,0
S5,3,0,L3,41.56954157
S5,6,0,L2,41.12103175
S5,3,1,L1,55.33333333
S5,0,0,L2,31.34920635
S5,0,1,L3,13.63636364
S5,6,1,L1,58.33333333
S5,-6,0,L1,10
S5,6,0,L1,75
S5,-3,1,L3,19.77466977
S5,6,0,L3,48.67909868
S5,1000,0,L2,100
S5,-6,0,L2,16.96428572
S5,1000,1,L1,57.33333333
S5,1000,0,L1,78.33333333
S5,1000,1,L3,10.8974359
S6,-6,1,L2,9.92063492
S6,6,0,L2,33.03571429
S6,1000,0,L1,100
S6,0,0,L3,8.119658121
S6,3,0,L1,67.33333333
S6,-6,1,L1,5
S6,3,1,L2,23.61111111
S6,-6,1,L3,5.594405594
S6,-3,1,L3,5.808080808
S6,6,0,L1,51
S6,0,1,L3,27.17560218
S6,1000,1,L1,46
S6,3,1,L1,47
S6,6,0,L3,35.8003108
S6,3,0,L2,58.97817461
S6,0,1,L1,42.66666667
S6,0,1,L2,21.72619048
S6,-6,0,L2,12.5
S6,6,1,L2,53.86904762
S6,-3,0,L1,21.33333333
S6,1000,0,L2,93.75
S6,0,0,L2,28.86904762
S6,-6,0,L1,5
S6,-3,1,L2,13.39285714
S6,-3,1,L1,30.66666667
S6,-3,0,L2,11.11111111
S6,3,1,L3,35.83916084
S6,6,1,L1,43.66666667
S6,0,0,L1,50.33333333
S6,-6,0,L3,2.564102564
S6,1000,1,L3,45.35742036
S6,-3,0,L3,21.58119658
S6,3,0,L3,34.4988345
S6,6,1,L3,20.24087024
S6,1000,1,L2,57.53968254
S6,1000,0,L3,84.84848485
S7,1000,1,L1,73.33333333
S7,-3,1,L3,8.333333333
S7,1000,1,L2,73.16468254
S7,6,0,L1,96
S7,-6,0,L3,15.5982906
S7,0,0,L2,81.25
S7,3,1,L3,39.25796426
S7,0,0,L3,57.42035742
S7,3,1,L2,54.31547619
